GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TD_UnitTests,esiea.tools.vector3d,VectorMathsUtil,3,9,0,2,1,3,1,2,1,1
TD_UnitTests,esiea.tools.vector3d,Vector3d,0,99,0,0,0,15,0,6,0,6
TD_UnitTests,esiea.tools.vector3d,Entity3d,15,224,8,16,0,45,8,14,0,10
TD_UnitTests,esiea.tools.math,MathUser,12,0,0,0,4,0,2,0,2,0
TD_UnitTests,esiea.tools.math,Math,3,51,0,4,1,13,1,10,1,8
TD_UnitTests,esiea.tools.mock,DigitalPhotography,16,16,0,0,6,4,1,1,1,1
TD_UnitTests,esiea.tools.mock,DigitalCameraMock,0,36,0,2,0,15,0,5,0,4
TD_UnitTests,esiea.tools.mock,DigitalCameraReal,0,16,0,0,0,7,0,4,0,4
TD_UnitTests,esiea.tools.mock,DigitalPhotographer,0,23,0,0,0,7,0,4,0,4
TD_UnitTests,esiea.tools.validator,PasswordValidator,0,18,0,2,0,6,0,3,0,2
